;ML1;ML2;ML3
schizo.18;0.006824335;0.032510101;-0.003555353
schizo.19;0.005737236;0.018790442;-0.000583276
schizo.20;-0.001669708;0.018357272;0.00644104
schizo.21;0.004626967;0.01685272;-0.000378483
schizo.22;0.012953855;0.006918708;0.003405173
schizo.23;0.002172023;0.011396048;0.014851546
schizo.24;0.005823407;0.004953194;0.008984836
schizo.25;0.001028249;0.005709846;0.004998318
schizo.26;0.003012997;-0.00345531;0.004820766
schizo.27;0.002850792;-0.010047429;0.006022597
schizo.28;0.010074125;0.001671944;0.004926281
schizo.29;0.003471548;-0.005138905;0.008564049
schizo.30;0.006997402;-0.015967982;0.027194495
schizo.31;0.001648582;-0.002330145;0.005496132
schizo.32;0.000294644;0.010495524;0.010769188
schizo.33;0.001596058;-0.004271927;0.019712407
schizo.34;0.002203796;0.009671539;-0.006495883
schizo.35;0.002135019;0.011028891;-0.00896923
schizo.36;0.002137886;0.025997034;-0.004608498
schizo.37;0.006658458;0.015605626;-0.010805757
schizo.38;0.005200546;0.023857347;-0.005507529
schizo.39;0.007616891;0.004527091;-0.014331756
schizo.40;0.002407094;0.022147335;-0.010047908
schizo.41;0.002663001;0.016804468;-0.002081892
schizo.42;0.011547941;0.012308559;-0.003001295
schizo.43;0.004281625;0.018318122;-0.001194677
alcohol.1;0.002236384;0.010102249;-0.015553784
alcohol.2;0.001625894;0.0161011;-0.013066847
alcohol.3;0.002430333;0.015935344;-0.01621964
alcohol.4;0.002300149;0.017418253;-0.014002787
alcohol.5;0.002605993;0.015865766;-0.012721108
alcohol.6;0.000231215;0.013425794;-0.010094773
alcohol.7;0.00313996;0.010908053;-0.00898738
alcohol.8;0.001477653;0.014609727;-0.012132213
alcohol.9;0.002458715;0.013286755;-0.009242579
alcohol.10;0.001530928;0.014084507;-0.012163973
eat.1;-0.011780674;0.031292219;0.007158288
eat.2;-0.003687469;0.011935103;0.002135872
eat.3;-0.002702398;0.023190864;0.000159986
eat.4;-0.006369371;0.01990239;0.003327033
eat.5;-0.005095763;0.011959058;0.001195475
eat.6;-0.008691777;0.014233505;0.002056104
eat.7;-0.007780374;0.013981211;5.54354E-05
